Bounces_53_only_cells/Pruned2/bounce_12_3.mp4/135_optical.mp4,12,13,27,32,148,134,150,37,36,35,,,,,,
Bounces_53_only_cells/Pruned2/bounce_12_1.mp4/135_optical.mp4,12,15,26,22,44,20,160,139,142,147,17,28,13,,,
Bounces_53_only_cells/Pruned2/bounce_12_4.mp4/115_optical.mp4,24,14,11,18,69,140,133,136,23,32,34,36,,,,
Bounces_53_only_cells/Pruned2/bounce_12_4.mp4/134_optical.mp4,25,27,40,134,134,139,3,30,28,33,,,,,,
Bounces_53_only_cells/Pruned2/bounce_16_1.mp4/155_optical.mp4,2,18,35,136,146,151,6,29,32,40,,,,,,
Bounces_53_only_cells/Pruned2/bounce_16_1.mp4/154_optical.mp4,31,24,11,16,18,135,141,141,2,24,22,18,38,,,
Bounces_53_only_cells/Pruned2/bounce_14_1.mp4/159_optical.mp4,15,33,36,165,139,137,146,20,33,41,49,,,,,
Bounces_53_only_cells/Pruned2/bounce_14_1.mp4/140_optical.mp4,38,43,41,36,25,39,140,150,157,16,44,56,62,,,
Bounces_53_only_cells/Pruned2/bounce_10_5.mp4/96_optical.mp4,11,15,19,23,23,22,6,161,152,146,145,161,13,26,25,
Bounces_53_only_cells/Pruned2/bounce_10_5.mp4/115_optical.mp4,18,20,19,127,155,132,130,124,41,36,35,35,,,,
Bounces_53_only_cells/Pruned2/bounce_11_3.mp4/153_optical.mp4,0,30,11,173,128,139,155,161,14,36,43,,,,,
Bounces_53_only_cells/Pruned2/bounce_11_2.mp4/152_optical.mp4,26,20,24,7,133,142,143,42,45,51,55,,,,,
Bounces_53_only_cells/Pruned2/bounce_11_1.mp4/153_optical.mp4,15,15,23,59,41,25,154,144,147,170,39,38,41,51,39,13
Bounces_53_only_cells/Pruned2/bounce_15_1.mp4/158_optical.mp4,8,33,32,30,21,11,141,138,141,143,8,43,45,34,35,
Bounces_53_only_cells/Pruned2/bounce_17_2.mp4/97_optical.mp4,45,38,36,46,44,26,138,139,143,165,29,32,38,45,,
Bounces_53_only_cells/Pruned2/bounce_17_1.mp4/98_optical.mp4,38,33,30,27,25,26,36,139,145,147,164,38,38,38,39,
Bounces_53_only_cells/Pruned2/bounce_17_1.mp4/117_optical.mp4,30,30,28,20,138,145,150,172,43,40,42,48,,,,
Bounces_53_only_cells/Pruned2/bounce_26_1.mp4/156_optical.mp4,30,27,60,146,130,135,19,36,36,,,,,,,
Bounces_53_only_cells/Pruned2/bounce_26_1.mp4/137_optical.mp4,29,26,24,25,31,86,134,134,19,35,34,35,33,,,
Bounces_53_only_cells/Pruned2/bounce_19_2.mp4/101_optical.mp4,20,21,21,14,149,154,154,162,41,52,54,,,,,
Bounces_53_only_cells/Pruned2/bounce_24_1.mp4/101_optical.mp4,24,18,26,147,151,157,177,46,56,58,,,,,,
Bounces_53_only_cells/Pruned2/bounce_24_1.mp4/100_optical.mp4,30,40,37,37,35,34,24,24,141,145,153,176,45,49,50,
Bounces_53_only_cells/Pruned2/bounce_27_2.mp4/100_optical.mp4,13,19,25,19,11,175,173,176,163,33,37,,,,,
Bounces_53_only_cells/Pruned2/bounce_18_1.mp4/136_optical.mp4,30,28,12,142,141,140,163,32,45,48,,,,,,
Bounces_53_only_cells/Pruned2/bounce_27_1.mp4/102_optical.mp4,30,29,31,33,22,157,161,162,164,179,39,44,48,,,
Bounces_53_only_cells/Pruned2/bounce_27_1.mp4/121_optical.mp4,15,17,28,24,20,13,140,144,142,140,35,47,45,,,
Bounces_53_only_cells/Pruned2/bounce_21_2.mp4/121_optical.mp4,30,29,37,36,29,30,15,141,145,160,32,43,45,48,,
Bounces_53_only_cells/Pruned2/bounce_23_1.mp4/119_optical.mp4,38,22,41,18,138,153,162,21,47,54,,,,,,
Bounces_53_only_cells/Pruned2/bounce_23_1.mp4/137_optical.mp4,27,36,21,19,175,152,143,158,27,36,45,,,,,
Bounces_53_only_cells/Pruned2/bounce_23_1.mp4/138_optical.mp4,40,50,15,46,21,142,146,163,28,42,56,68,,,,